magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],timestamp,DTMode
0.27587917,-0.033392765,0.47062784,29544000,2_3
0.27434728,-0.031760447,0.47308603,29564000,2_3
0.27535167,-0.030636352,0.4718762,29584000,2_3
0.27689692,-0.033429284,0.47284666,29605000,2_3
0.275537,-0.03378017,0.4717713,29625000,2_3
0.27421016,-0.0341603,0.47447208,29648000,2_3
0.2742799,-0.032182124,0.4733408,29668000,2_3
0.27303043,-0.03396965,0.47325563,29688000,2_3
0.27280977,-0.03226517,0.47324237,29708000,2_3
0.27446437,-0.032045808,0.47462392,29729000,2_3
0.27460706,-0.031328086,0.47388646,29753000,2_3
0.27452892,-0.03226191,0.4741602,29777000,2_3
0.27124274,-0.028337767,0.4740971,29797000,2_3
0.27706003,-0.030435648,0.4727631,29820000,2_3
0.27381033,-0.031630874,0.47417971,29840000,2_3
0.27217656,-0.031147167,0.47378427,29861000,2_3
0.27507177,-0.029987281,0.4733115,29884000,2_3
0.27451697,-0.029799007,0.47414997,29904000,2_3
0.27254206,-0.029389713,0.47217822,29929000,2_3
0.27441758,-0.029650863,0.47407234,29949000,2_3
0.27520204,-0.0307119,0.47483596,29969000,2_3
0.2757747,-0.029521262,0.47532463,29992000,2_3
0.2744113,-0.028700426,0.47321028,30041000,2_3
0.27390343,-0.030574223,0.47330034,30064000,2_3
0.2759122,-0.029034574,0.47422725,30084000,2_3
0.27837706,-0.02625565,0.4718949,30104000,2_3
0.27608496,-0.029864898,0.47261572,30129000,2_3
0.2754501,-0.028060623,0.47246435,30149000,2_3
0.27635026,-0.026145417,0.4715685,30172000,2_3
0.2753507,-0.024764847,0.46980235,30196000,2_3
0.27658546,-0.025869435,0.47215304,30220000,2_3
0.2763741,-0.027274396,0.47170863,30241000,2_3
0.27533647,-0.02542629,0.47212908,30264000,2_3
0.27705875,-0.027374193,0.4716327,30284000,2_3
0.27627414,-0.025837932,0.47011483,30309000,2_3
0.27614173,-0.025145467,0.4712478,30332000,2_3
0.27491653,-0.023456335,0.4723863,30352000,2_3
0.27767465,-0.024797982,0.47184372,30376000,2_3
0.27826118,-0.023971593,0.47266018,30397000,2_3
0.27565724,-0.023990652,0.4689909,30420000,2_3
0.27846763,-0.023714434,0.46861106,30440000,2_3
0.27724096,-0.022720445,0.47118798,30464000,2_3
0.27755818,-0.023304902,0.46916783,30489000,2_3
0.2785944,-0.022811359,0.4703537,30512000,2_3
0.27987683,-0.022890974,0.47044286,30548000,2_3
0.28018215,-0.020283725,0.47131592,30569000,2_3
0.280597,-0.01979921,0.46884212,30593000,2_3
0.2796933,-0.018363273,0.47225472,30645000,2_3
0.2794316,-0.018401796,0.4703046,30669000,2_3
0.28002092,-0.017587496,0.47002825,30693000,2_3
0.28066444,-0.018278603,0.46932727,30716000,2_3
0.28098184,-0.017367736,0.46940115,30737000,2_3
0.27948058,-0.017809937,0.46974868,30760000,2_3
0.2796631,-0.015994674,0.46845672,30785000,2_3
0.28132498,-0.015374596,0.47135743,30805000,2_3
0.27949053,-0.014554548,0.47112513,30825000,2_3
0.2799823,-0.01541794,0.47145432,30845000,2_3
0.27864042,-0.015480966,0.46997008,30868000,2_3
0.27943742,-0.014743004,0.47079417,30888000,2_3
0.27764416,-0.014642347,0.47059712,30908000,2_3
0.279178,-0.015251736,0.47109875,30928000,2_3
0.27802548,-0.014984756,0.47156578,30953000,2_3
0.27973336,-0.015594756,0.47186697,30973000,2_3
0.27849436,-0.0151226185,0.47056037,30993000,2_3
0.2790315,-0.016817791,0.47293434,31013000,2_3
0.2793193,-0.014341248,0.4699914,31033000,2_3
0.27856195,-0.015015164,0.47292995,31056000,2_3
0.27977297,-0.01640802,0.47209126,31077000,2_3
0.2789701,-0.015965775,0.47136885,31100000,2_3
0.2779485,-0.01686558,0.47088948,31120000,2_3
0.27990586,-0.017156383,0.47151452,31140000,2_3
0.278099,-0.015481815,0.46984208,31161000,2_3
0.27631846,-0.01764585,0.4699862,31184000,2_3
0.27842334,-0.018968882,0.46916097,31204000,2_3
0.27772236,-0.018118126,0.47233742,31224000,2_3
0.27852273,-0.017779825,0.4713342,31248000,2_3
0.278776,-0.018825898,0.47109485,31273000,2_3
0.27562997,-0.01844703,0.46839246,31293000,2_3
0.27895087,-0.017997365,0.47250503,31313000,2_3
0.2779699,-0.018781945,0.47091827,31345000,2_3
0.2789083,-0.019128805,0.47097188,31368000,2_3
0.277173,-0.017568206,0.4695878,31388000,2_3
0.2781563,-0.019052181,0.47302106,31408000,2_3
0.27583992,-0.017991012,0.47415313,31428000,2_3
0.276541,-0.019094598,0.47036684,31448000,2_3
0.27776498,-0.018753983,0.47215006,31468000,2_3
0.27796054,-0.017455421,0.47065023,31488000,2_3
0.27647668,-0.0182936,0.47106832,31508000,2_3
0.27599505,-0.02075974,0.47239223,31528000,2_3
0.27840185,-0.021112807,0.47081658,31553000,2_3
0.27759507,-0.01900598,0.4701552,31577000,2_3
0.2758007,-0.017686805,0.47161728,31600000,2_3
0.27664313,-0.023185244,0.47086725,31624000,2_3
0.2785557,-0.019902155,0.47176826,31656000,2_3
0.27625254,-0.019790085,0.47240654,31676000,2_3
0.27750343,-0.019408783,0.4707546,31701000,2_3
0.27777144,-0.019777495,0.46981892,31725000,2_3
0.2795663,-0.018300867,0.47221205,31748000,2_3
0.27818066,-0.018415432,0.4718278,31768000,2_3
0.2794891,-0.020721642,0.4688736,31788000,2_3
0.27616835,-0.01691769,0.47092706,31808000,2_3
0.27745068,-0.019750213,0.47181422,31833000,2_3
0.27574974,-0.022120632,0.4732849,31853000,2_3
0.27599892,-0.019507628,0.47480485,31873000,2_3
0.2780587,-0.019801678,0.4712265,31897000,2_3
0.2786529,-0.018128468,0.47064313,31917000,2_3
0.27879843,-0.019841265,0.47086024,31937000,2_3
0.28058457,-0.019985793,0.4712952,31957000,2_3
0.27872682,-0.019511556,0.47119492,31980000,2_3
0.27894485,-0.017625231,0.4707903,32005000,2_3
0.27911162,-0.018857583,0.4706151,32025000,2_3
0.2774856,-0.017729947,0.4698641,32045000,2_3
0.27853075,-0.018460847,0.47150478,32068000,2_3
0.27756825,-0.018369677,0.47065598,32088000,2_3
0.27783793,-0.019289862,0.47106168,32108000,2_3
0.27640414,-0.019089282,0.47082683,32133000,2_3
0.27826035,-0.02072043,0.4701837,32153000,2_3
0.2791004,-0.019999422,0.4710545,32173000,2_3
0.279736,-0.01837837,0.47127813,32193000,2_3
0.2779523,-0.02044507,0.47034955,32213000,2_3
0.27788523,-0.016899748,0.47141042,32260000,2_3
0.27928144,-0.016482387,0.47029123,32280000,2_3
0.27675468,-0.017772663,0.47011042,32301000,2_3
0.2776311,-0.015609699,0.4707123,32325000,2_3
0.27874905,-0.017206904,0.4717159,32345000,2_3
0.2803458,-0.016200537,0.47042894,32365000,2_3
0.27990788,-0.017640747,0.4715303,32385000,2_3
0.27889338,-0.018785996,0.4707141,32405000,2_3
0.27757356,-0.018713512,0.46978748,32428000,2_3
0.2767427,-0.018063042,0.47154075,32453000,2_3
0.27772313,-0.018380146,0.47083002,32473000,2_3
0.2795375,-0.017774556,0.47210556,32496000,2_3
0.28020775,-0.017665185,0.46996212,32516000,2_3
0.2779975,-0.019102322,0.47208375,32540000,2_3
0.27887246,-0.018162966,0.47186488,32560000,2_3
0.2783533,-0.018370893,0.47271788,32580000,2_3
0.27822348,-0.018333707,0.47100195,32600000,2_3
0.2786338,-0.016623065,0.4719917,32621000,2_3
0.2803029,-0.018399866,0.47020873,32641000,2_3
0.27804917,-0.019552154,0.4713119,32661000,2_3
0.27879307,-0.016745126,0.47143736,32685000,2_3
0.27926713,-0.020176396,0.47239444,32705000,2_3
0.2783711,-0.017060427,0.470207,32728000,2_3
0.27926764,-0.019435195,0.47309566,32748000,2_3
0.27658296,-0.018092219,0.47077808,32772000,2_3
0.2772455,-0.01843757,0.4710764,32792000,2_3
0.27696186,-0.018433912,0.4727548,32816000,2_3
0.27779314,-0.018588642,0.47220784,32836000,2_3
0.27946892,-0.017540082,0.4717074,32856000,2_3
0.27852523,-0.018321427,0.47103697,32876000,2_3
0.27794537,-0.018052554,0.4713788,32896000,2_3
0.27785748,-0.019526344,0.47144085,32917000,2_3
0.27624643,-0.018060502,0.4710754,32941000,2_3
0.27839658,-0.016754821,0.4706524,32961000,2_3
0.27541733,-0.015734881,0.47204313,32981000,2_3
0.27659458,-0.018915942,0.4713517,33001000,2_3
0.27755237,-0.019282926,0.4707048,33021000,2_3
0.2778709,-0.019144181,0.472817,33044000,2_3
0.27693674,-0.019047415,0.47125483,33064000,2_3
0.27664638,-0.018287284,0.47256136,33084000,2_3
0.27743977,-0.017225001,0.47218972,33104000,2_3
0.27732894,-0.018564312,0.4741869,33124000,2_3
0.27582607,-0.017840596,0.474258,33145000,2_3
0.27625668,-0.019387662,0.47358626,33168000,2_3
