magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],timestamp,DTMode
0.27488673,-0.032473274,0.47041458,29555000,2_3
0.2773481,-0.031834256,0.47215873,29579000,2_3
0.27711445,-0.031984534,0.47261092,29599000,2_3
0.27423936,-0.030286228,0.47146636,29624000,2_3
0.27653205,-0.033081766,0.47006994,29644000,2_3
0.27535465,-0.03427528,0.4715147,29664000,2_3
0.27722627,-0.03373154,0.47220397,29684000,2_3
0.27767324,-0.031913176,0.47359508,29708000,2_3
0.27541602,-0.033448435,0.47030866,29728000,2_3
0.27627945,-0.034528323,0.47172266,29748000,2_3
0.2773718,-0.03130619,0.4714818,29771000,2_3
0.27751786,-0.032935668,0.4715616,29796000,2_3
0.27658123,-0.032749288,0.47052333,29816000,2_3
0.27717978,-0.02963257,0.46987048,29840000,2_3
0.27541447,-0.033521287,0.4710535,29863000,2_3
0.27673504,-0.032299273,0.4724028,29884000,2_3
0.27879536,-0.030102795,0.47362208,29904000,2_3
0.27622783,-0.029655568,0.4711381,29927000,2_3
0.2757021,-0.031192983,0.47230253,29956000,2_3
0.27752745,-0.030790761,0.47236282,29979000,2_3
0.2772986,-0.03099447,0.47173205,29999000,2_3
0.27737358,-0.032357514,0.471773,30019000,2_3
0.2749602,-0.028936505,0.4739246,30043000,2_3
0.27712736,-0.031132251,0.47110602,30064000,2_3
0.2770399,-0.031829488,0.47416383,30084000,2_3
0.2790555,-0.029738784,0.4710186,30104000,2_3
0.27624643,-0.030519191,0.47202647,30124000,2_3
0.2747593,-0.028478514,0.47382736,30147000,2_3
0.2774651,-0.029762173,0.4736335,30168000,2_3
0.27733943,-0.028689273,0.46964705,30188000,2_3
0.27924192,-0.032260373,0.47010434,30211000,2_3
0.2788266,-0.029969476,0.47097144,30231000,2_3
0.27953023,-0.030709863,0.47116232,30251000,2_3
0.27714458,-0.029516924,0.47285768,30271000,2_3
0.27756068,-0.028296923,0.47060212,30292000,2_3
0.27861667,-0.027419893,0.47066426,30315000,2_3
0.27834904,-0.028920235,0.47126493,30335000,2_3
0.2771217,-0.02822044,0.47018299,30356000,2_3
0.27737483,-0.029193796,0.47098413,30376000,2_3
0.2765909,-0.029533615,0.4714024,30399000,2_3
0.2779452,-0.028999213,0.4722975,30419000,2_3
0.27792168,-0.029417103,0.4698834,30439000,2_3
0.2801763,-0.02789273,0.46987167,30460000,2_3
0.2782992,-0.030819366,0.47154543,30484000,2_3
0.27968475,-0.028229035,0.46831033,30507000,2_3
0.27702358,-0.030123295,0.4705914,30527000,2_3
0.27906844,-0.026558463,0.4729426,30552000,2_3
0.27764976,-0.028366629,0.4706167,30572000,2_3
0.27785784,-0.025526274,0.47024992,30596000,2_3
