timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
5004000,0.0,0.0,0.0,1
5102000,0.0,0.0,0.0,1
5914000,0.0,0.0,0.0,1
6925000,0.0,0.0,0.0,1
7930000,0.0,0.0,0.0,1
8930000,0.0,0.0,0.0,1
9946000,0.0,0.0,0.0,1
10945000,0.0,0.0,0.0,1
11961000,0.0,0.0,0.0,1
12969000,0.0,0.0,0.0,1
13981000,0.0,0.0,0.0,1
14993000,0.0,0.0,0.0,1
15989000,0.0,0.0,0.0,1
17000000,0.0,0.0,0.0,1
17914000,0.0,0.0,0.0,1
18926000,0.0,0.0,0.0,1
35393000,0.0,0.0,0.0,1
35490000,0.0,0.0,0.0,1
36301000,0.0,0.0,0.0,1
37301000,0.0,0.0,0.0,1
