timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,current_average_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,average_power,available_energy,remaining_capacity,design_capacity,nominal_voltage,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,average_time_to_full,over_discharge_count,connected,source,priority,id,is_powering_off,warning
1315000,16.2,16.2,-1.0,-1.0,-1.0,0.0,1.0,1.0,nan,4,4.05,4.05,4.05,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1328000,16.2,16.2,-1.0,-1.0,-1.0,0.0,1.0,1.0,nan,4,4.05,4.05,4.05,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1517000,16.2,16.2,-1.0,-1.0,-1.0,0.0,1.0,1.0,nan,4,4.05,4.05,4.05,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1716000,16.2,16.2,-1.0,-1.0,-1.0,0.0,1.0,1.0,nan,4,4.05,4.05,4.05,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1915000,16.2,16.2,-1.0,-1.0,-1.0,0.0,1.0,1.0,nan,4,4.05,4.05,4.05,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2116000,16.2,16.2,-1.0,-1.0,-1.0,0.0,1.0,1.0,nan,4,4.05,4.05,4.05,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2316000,16.2,16.2,-1.0,-1.0,-1.0,0.0,1.0,1.0,nan,4,4.05,4.05,4.05,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2516000,16.2,16.2,-1.0,-1.0,-1.0,0.0,1.0,1.0,nan,4,4.05,4.05,4.05,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2715000,16.2,16.2,-1.0,-1.0,-1.0,0.0,1.0,1.0,nan,4,4.05,4.05,4.05,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2916000,16.2,16.2,-1.0,-1.0,-1.0,0.0,1.0,1.0,nan,4,4.05,4.05,4.05,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
